RA Dec redshift phot_index luminosity nh_values
88.343666779779 -20.90988274424 0.9257 2.13919 8.896405877993147e+43 20.97186
147.28018658195 0.17492596201523 0.6258 2.71633 5.004718844383319e+45 20.74527
172.95985530867 -30.376886721298 2.09469 1.8521 3.008512824734234e+45 21.12907
231.86957080116 65.802743229808 1.1257 2.74655 4.4625492797812224e+44 20.51758
241.24238767354 32.724771734314 1.2257 1.91403 3.306966315703421e+44 20.13511
118.85535176061 39.186076722275 1.6255 2.5879 8.727812502400153e+44 20.00108
182.01276082833 43.231302431423 1.1257 1.90731 6.238828178664251e+44 21.75507
23.691815219637 -29.47740547803 0.8758 3.68951 3.909831639382203e+44 22.44341
23.432116140359 -29.418183604908 0.98936 2.061 8.616690759807324e+44 20.58426
254.52441121514 27.941558638713 0.23988 2.33803 6.752543013014479e+43 21.17197
228.94480934163 4.3333477395935 1.3256 2.21048 6.241482348766153e+43 20.84605
198.54902208497 51.928112461836 0.8258 1.4504 2.842297731488336e+43 20.68132
198.57413187213 51.99605791736 0.85756 1.72431 2.6356834268746783e+44 20.69731
162.10900884184 51.003577012247 0.46619 2.42493 1.2497401765369854e+43 22.67875
12.514768830663 40.365408535191 0.4259 1.90562 2.0377645074830107e+43 20.64485
351.63711741204 -0.0573716510585562 3.17306 1.47317 2.823313511475728e+45 20.8168
351.79478997223 0.28438408143892 0.6258 2.29794 1.7768455733201104e+44 20.09488
37.344273064779 0.5615241673294 0.7758 1.68855 1.7038314903423223e+44 20.63581
36.784498375009 0.71160828733094 0.9257 2.42739 2.405274175066404e+44 22.04628
36.679995753289 0.442170948298 0.6258 2.25455 7.211899808744801e+43 20.87644
36.545826075446 0.58503501356836 0.4759 2.59676 3.100579041701417e+43 20.38941
36.790680655678 0.46189716492549 0.1849 1.93562 2.2106443512637424e+44 20.92308
36.843323289138 0.61084510654967 1.3256 1.58225 1.0823749850258674e+45 20.41822
36.551762153396 0.56728654259946 2.04971 2.2865 6.280756233243424e+45 20.31644
36.775937139349 0.65879030165685 1.2338 1.69628 9.379263567422825e+44 20.48891
